CLCODE,NAME,STNAME,ACTIVE,ESTYMD,NETINC,ASSET,EQ,REPDTE
3,"The First Bankers of South Brevard, National Association",Florida,0,10/17/1963,,,,
3,"First RepublicBank Nassau Bay, National Association",Texas,0,10/18/1963,-44,141318,7663,9/30/1987
21,First Wyoming Bank - East Cheyenne,Wyoming,0,10/17/1963,349,32344,3194,12/31/1988
3,Kislak National Bank,Florida,0,10/21/1963,11374,965717,73374,12/31/2004
3,"Frances Slocum Bank and Trust Company, National Association",Indiana,0,10/28/1963,453,213071,27400,3/31/2007
21,Dakota County State Bank,Nebraska,0,11/22/1963,682,93694,8761,6/30/2010
21,Utah Bank and Trust,Utah,0,11/12/1963,719,77467,9287,9/30/1991
3,First National Bank of Florida at Bonita Springs,Florida,0,11/18/1963,1399,255756,17418,12/31/1997
3,Dubois National Bank,Wyoming,0,11/23/1963,29,22181,1814,3/31/1999
21,The Colonial Bank of North Alabama,Alabama,0,12/2/1963,1648,209922,18473,9/30/1986
21,Charter Bank,California,0,11/25/1963,,,,
3,Madison National Bank,District Of Columbia,0,12/2/1963,-4459,473781,-7628,3/31/1991
3,"Firstar Eagan Bank, National Association",Minnesota,0,12/16/1963,174,56918,3597,6/30/1991
3,First National Bank of Winnebago,Illinois,0,12/20/1963,76,43290,6357,3/31/2001
21,Liberty Bank,Texas,0,1/6/1964,375,57195,2906,12/31/1986
21,First Central Coast Bank,California,0,1/10/1964,,,,
21,Interamerican Bank of Miami,Florida,0,2/14/1964,,,,
3,"Bank of Spring Lake Park, National Association",Minnesota,0,2/11/1964,250,56962,5694,9/30/1993
3,"First Interstate Bank of Beaumont, National Association",Texas,0,2/20/1964,290,149054,5927,9/30/1988
3,Century National Bank and Trust Company,New York,0,3/2/1964,,,,
3,"Barnett Bank of Cypress Gardens, National Association",Florida,0,3/2/1964,,,,
13,First Georgia Bank,Georgia,0,8/3/1935,,,,
21,Key Biscayne Bank and Trust Company,Florida,0,3/10/1964,1341,144387,16294,6/30/1995
21,Dominion Bank,Virginia,0,4/2/1964,,,,
3,First National Bank of Richardson,Texas,0,3/27/1964,-2882,44549,-2531,3/31/1989
3,National Bank of Wichita,Kansas,0,4/6/1964,388,54778,4237,12/31/1988
3,National Bank of Commerce of Birmingham,Alabama,0,4/15/1964,1331,148282,15943,6/30/1985
21,United Missouri Bank of Joplin,Missouri,0,4/13/1964,533,65684,4472,12/31/1994
3,Colorado National Bank - South,Colorado,0,6/1/1964,15,55655,3070,9/30/1991
21,First State Bank & Trust Company of Shawnee,Oklahoma,0,6/4/1964,233,90011,8316,3/31/1999
3,"Norwest Bank Bear Valley, National Association",Colorado,0,6/15/1964,2179,202739,12909,12/31/1993
21,Community Bank of St. Petersburg,Florida,0,6/23/1964,,,,
21,MBank Houston Southeast,Texas,0,6/24/1964,54,34858,2267,9/30/1985
3,First National Bank of Denham Springs,Louisiana,0,6/27/1964,1164,137855,25052,6/30/1996
3,"Household Bank (California), National Association",California,0,7/1/1964,358,77354,15414,3/31/1995
21,Inland Bank,California,0,7/1/1964,,,,
21,Draper Bank and Trust,Utah,0,7/7/1964,5926,242349,25337,12/31/2000
21,CIB Bank,Illinois,0,7/17/1964,-4014,1250692,47691,9/30/2004
3,Orange National Bank,Connecticut,0,7/15/1964,,,,
21,El Dorado State Bank,California,0,7/31/1964,,,,
3,Midlantic National Bank/West,New Jersey,0,7/27/1964,,,,
3,Westport National Bank,Connecticut,0,7/31/1964,,,,
3,"SUNWEST Bank of El Paso, National Association",Texas,0,7/31/1964,4069,634955,158055,6/30/1998
3,First National Bank of Jacksonville,Illinois,0,8/14/1964,,,,
21,The Burkburnett Bank,Texas,0,8/27/1964,1928,116802,8827,12/31/1999
21,City Bank & Trust Company of Lincoln,Nebraska,0,8/31/1964,-132,19686,210,9/30/1985
3,The National Bank of Commerce of Belle,West Virginia,0,9/8/1964,97,46423,4573,6/30/1990
3,"Ellis Bank of Indian Rocks, National Association",Florida,0,9/22/1964,416,132292,8743,3/31/1984
3,"NBD Grand Valley Bank, National Association",Michigan,0,9/23/1964,686,108536,6546,6/30/1987
21,Producers Savings Bank,Iowa,0,1/1/1908,97,16768,3023,12/31/1997
3,Second National Bank of Tampa,Florida,0,9/28/1964,1769,103677,8999,12/31/1984
3,"Barnett Bank of Bay Harbor Islands, National Association",Florida,0,10/28/1964,,,,
3,Shoals National Bank of Florence,Alabama,0,11/16/1964,,,,
3,"Texas Commerce Bank - Gulfway, National Association",Texas,0,11/23/1964,-30,59041,3262,3/31/1987
3,"UMB Bank Colorado, National Association",Colorado,0,2/24/1958,9267,1619356,177399,9/30/2012
3,The North Haven National Bank,Connecticut,0,12/14/1964,,,,
21,Independence Bank of Chicago,Illinois,0,12/14/1964,109,145671,19207,12/31/1995
21,ComBank/Fairvilla,Florida,0,12/14/1964,,,,
3,Freedom National Bank of New York,New York,0,12/21/1964,-1665,110444,80,9/30/1990
3,"Pan American Bank of Dade County, National Association",Florida,0,12/16/1964,693,66529,5274,9/30/1985
21,United Bank,Montana,0,12/28/1964,23,15369,850,3/31/1987
21,Mercantile Bank of Sikeston,Missouri,0,1/2/1965,294,139686,12058,3/31/1996
21,First Interstate Bank of Marshall,Texas,0,1/2/1965,-179,39572,1697,9/30/1988
3,"First National Bank, Henryetta",Oklahoma,0,1/2/1965,320,62065,7839,6/30/2006
3,First National Bank of Princeton-Naranja,Florida,0,1/15/1965,,,,
21,Page State Bank,North Dakota,0,1/18/1965,4,7722,631,9/30/2003
21,Excel Bank Minnesota,Minnesota,0,1/25/1965,-852,613580,49011,6/30/2007
3,Southeast National Bank of Cocoa,Florida,0,1/29/1965,,,,
21,Central Washington Bank,Washington,0,1/26/1965,2025,228433,15308,9/30/1996
3,Century National Bank of Lee County,Florida,0,2/9/1965,,,,
21,Continental Bank Guardian,Wisconsin,0,3/15/1965,,,,
3,American National Bank,Connecticut,0,3/31/1965,-7859,336981,12359,12/31/1992
13,Century Bank,Colorado,0,3/1/1961,3169,254682,17526,12/31/1993
21,Midway Bank & Trust,Iowa,0,7/11/1961,412,51911,4225,9/30/1990
3,The First National Bank of Laurens,South Carolina,0,8/9/1961,,,,
3,"Sun Bank and Trust/Charlotte County, National Association",Florida,0,9/19/1961,5202,358064,24425,12/31/1992
21,Boatmen's Bank of Sioux City,Iowa,0,10/2/1961,218,32421,2102,9/30/1994
21,First City Bank - Farmers Branch,Texas,0,9/15/1961,298,155660,7147,6/30/1988
21,Breaux Bridge Bank & Trust Co.,Louisiana,0,10/7/1961,-4773,22475,-8175,6/30/1987
3,"First Interstate Bank of Cresco, National Association",Iowa,0,01/01/1869,192,37194,2918,6/30/1991
21,Farmers State Bank,Iowa,0,7/18/1932,328,15843,2613,9/30/1987
21,Lippo Bank,California,0,11/15/1961,-1,98498,17239,3/31/2000
3,"Southwest Bank & Trust Company of Omaha, National Association",Nebraska,0,12/4/1961,1914,193428,19632,9/30/1995
3,"Firstar Bank Wausau, National Association",Wisconsin,0,12/7/1961,1751,173398,16998,12/31/1995
3,First Western National Bank,Utah,0,2/5/1962,287,36534,5001,3/31/1995
21,UMB Security State Bank,Kansas,0,3/10/1962,42,41014,4911,3/31/1994
3,Colorado National Bank - Golden,Colorado,0,5/14/1962,245,53839,3384,9/30/1991
21,Pinnacle Bank,Illinois,0,5/18/1962,2193,864866,78947,6/30/1999
21,United of America Bank,Illinois,0,6/5/1962,,,,
21,Sun Bank of Miami,Florida,0,6/26/1962,1049,447919,27440,3/31/1985
21,Allied Seabrook Bank,Texas,0,6/15/1962,-332,53923,2871,12/31/1987
3,"Commerce Bank of Columbia, National Association",Missouri,0,6/15/1962,398,102879,5684,6/30/1988
3,First National Bank of Oak Lawn,Illinois,0,6/22/1962,,,,
21,Bank of Everett,Washington,0,7/2/1962,,,,
21,First City Bank - Windsor Park,Texas,0,7/23/1962,1,129166,5371,6/30/1988
21,Lincoln Bank & Trust Company,Louisiana,0,8/1/1962,545,89884,6517,9/30/1987
3,Flagship First National Bank of Highlands County,Florida,0,7/30/1962,,,,
21,Bank of the West,Texas,0,7/30/1962,-119,141277,11760,3/31/1995
21,First Communitiy Bank,Arkansas,0,8/10/1962,499,107942,6609,9/30/2000
3,Florida National Bank of Martin County,Florida,0,8/9/1962,,,,
13,First American Bank of Kankakee,Illinois,0,8/10/1962,21,145892,9300,6/30/1999
21,Coronado Bank,Texas,0,9/4/1962,-241,73978,3898,12/31/1988
3,First National Bank of Broward County,Florida,0,9/4/1962,,,,
3,"Norwest Bank Sunset Park, National Association",Colorado,0,9/4/1962,586,67464,2259,12/31/1994
3,Hampshire National Bank of South Hadley,Massachusetts,0,8/31/1962,1101,113428,9888,9/30/1987
21,East Texas State Bank,Texas,0,8/31/1962,-275,21278,406,9/30/1988
21,Citizens Bank,Iowa,0,1/1/1934,916,77457,5270,6/30/2000
3,First National Bank of Corpus Christi,Texas,0,11/1/1962,-590,117002,-2445,6/30/1990
13,United New Mexico Bank at Albuquerque,New Mexico,0,12/10/1962,404,361459,20970,3/31/1991
21,Commercial Bank of Palm Beach County,Florida,0,12/4/1962,-3541,132783,5843,3/31/1988
21,Placer Bank,California,0,12/7/1962,,,,
3,"Fridley Bank, National Association",Minnesota,0,12/17/1962,255,52819,7272,9/30/1995
21,Peoples Bank and Trust,Texas,0,12/1/1962,-106,22739,331,3/31/1996
3,First National Bank of Gonzales,Louisiana,0,1/2/1963,137,103375,22553,12/31/2000
21,Independence Bank,California,0,1/2/1963,-83411,535786,-30608,12/31/1991
21,First Bank & Trust,California,0,1/4/1963,30570,2514747,271091,12/31/2000
21,"Central Louisiana Bank & Trust Company, Inc.",Louisiana,0,1/19/1963,359,29358,835,12/31/1992
3,Colorado National Bank - Belmont,Colorado,0,1/9/1963,366,42827,2732,6/30/1993
41,Metrobank,Michigan,0,1/18/1963,-342,181828,29931,9/30/2005
3,"First Alabama Bank of Phenix City, N. A.",Alabama,0,1/23/1963,502,39226,3464,9/30/1985
3,"Associated Bank Minnesota, National Association",Minnesota,0,2/21/1963,11875,1896951,343237,6/30/2005
21,Farmers State Bank,Nebraska,0,1/22/1906,36,18703,2874,9/30/2006
21,The Citizens Bank,Georgia,0,3/15/1963,-1120,60568,395,9/30/1991
21,American Bank & Trust Company,Louisiana,0,3/25/1963,-588,60928,272,12/31/1990
13,Bank of Colorado - Western Slope - Glenwood Springs,Colorado,0,4/1/1963,250,43910,3773,6/30/1993
13,First State Bank of Pinedale,Wyoming,0,4/6/1963,324,115897,36524,9/30/2008
21,Hendry County Bank,Florida,0,4/23/1963,-89,84140,7302,12/31/1997
3,Community National Bank of Grand Forks,North Dakota,0,4/30/1963,859,120913,18672,6/30/2003
3,Citizens National Bank,Alabama,0,5/6/1963,-672,42537,-106,6/30/1999
21,North Houston Bank,Texas,0,5/15/1963,-24777,325474,15705,9/30/2009
21,The Farmers Bank,Nebraska,0,5/1/1905,-265,18295,773,3/31/2010
21,Continental Bank of Midvale,Utah,0,8/3/1956,,,,
3,First National Bank of Margate,Florida,0,7/1/1963,,,,
3,Colorado National Bank - Northeast,Colorado,0,7/1/1963,-40,61617,3161,9/30/1991
13,"Yellowstone Bank, Absarokee, Montana",Montana,0,4/15/1963,250,16004,2887,9/30/1996
21,Valley Bank,Minnesota,0,8/1/1963,92,249084,31196,3/31/2010
3,Atlantic National Bank of Winter Park,Florida,0,8/6/1963,,,,
21,Northshore Bank,Texas,0,8/10/1963,-3354,47187,1943,9/30/1985
3,The First National Bank of Hereford,Texas,0,10/23/1900,595,84282,10883,6/30/1995
3,First National Bank in Higgins,Texas,0,1/1/1906,103,13098,1213,9/30/1990
3,"Chase Bank of Texas, National Association",Texas,0,7/3/1912,113053,24553384,1863661,6/30/2000
3,First-Nichols National Bank of Kenedy,Texas,0,1/1/1906,326,41784,3399,12/31/2005
3,Kilgore First National Bank,Texas,0,1/1/1906,1019,166501,15570,6/30/1998
3,"United Bank, National Association",Texas,0,9/2/1919,-1522,49805,609,12/31/1992
3,Longview National Bank,Texas,0,1/31/1912,601,155095,19371,6/30/1998
3,"First City, Texas - Madisonville, National Association",Texas,0,1/1/1902,-137,123394,7623,9/30/1992
3,"Texas American Bank/McKinney, National Association",Texas,0,03/13/1883,-6099,175696,-13062,6/30/1989
3,First National Bank in Midlothian,Texas,0,1/1/1933,503,51253,4466,12/31/1995
3,"First Financial Bank, National Association",Texas,0,5/14/1925,3351,215499,26256,9/30/2012
3,The First National Bank of Navasota,Texas,0,01/01/1890,-1350,31679,2,6/30/1987
3,"Norwest Bank Texas, Wichita Falls, National Association",Texas,0,1/1/1905,1582,379023,28699,12/31/1996
3,"First RepublicBank Odessa, National Association",Texas,0,3/25/1932,-2920,174996,4991,6/30/1988
3,The First National Bank of Palestine,Texas,0,01/01/1887,842,93088,11601,6/30/1998
3,The Royall National Bank of Palestine,Texas,0,3/15/1904,1151,67109,8533,6/30/1993
3,"NBC Bank - South Texas, National Association",Texas,0,1/1/1913,-981,118358,-9704,3/31/1990
3,The First National Bank of Orange County,California,0,1/1/1906,,,,
3,Southern California First National Bank,California,0,01/01/1883,,,,
3,"Barnett Bank of Deland, National Association",Florida,0,10/24/1929,,,,
3,Sun First National Bank of Lake County,Florida,0,1/1/1906,,,,
3,"Barnett Bank of Marion County, National Association",Florida,0,01/26/1897,4313,615413,45048,6/30/1996
3,First National Bank-Employee Owned,Illinois,0,9/1/1926,408,141330,10419,9/30/2007
3,The Merchants National Bank of Aurora,Illinois,0,03/12/1888,7624,984254,74193,12/31/1999
3,The Champaign National Bank,Illinois,0,10/18/1882,1533,288578,22860,9/30/1995
3,"Bank One, National Association",Illinois,0,07/01/1863,260000,259527000,33336000,9/30/2004
3,The Drovers' National Bank of Chicago,Illinois,0,01/01/1883,,,,
3,The First National Bank of Clifton,Illinois,0,6/24/1902,215,26792,2999,9/30/2004
3,The First National Bank of Danvers,Illinois,0,5/1/1904,,,,
3,"Harris Bank Hinsdale, National Association",Illinois,0,7/1/1922,2912,843791,65312,3/31/2005
3,"Harris Bank Joliet, National Association",Illinois,0,06/30/1857,1155,1205601,216017,3/31/2005
3,The Dulaney National Bank of Marshall,Illinois,0,01/01/1879,175,38992,4167,3/31/1999
3,Citizens First National Bank,Illinois,0,01/01/1865,-4712,923959,18433,9/30/2012
3,"Amcore Bank, National Association",Illinois,0,9/17/1931,-25442,3066240,74723,3/31/2010
3,Beverly National Bank,Illinois,0,01/01/1863,2239,699835,61733,6/30/1998
3,The First National Bank of Bridgeport,Illinois,0,1/1/1906,-80,38346,11215,6/30/2000
3,The First National Bank of Brighton,Illinois,0,1/1/1909,85,14484,1298,12/31/1991
3,"Montana Bank of Butte, N. A.",Montana,0,10/17/1955,88,44214,3850,3/31/1991
21,The Bank Josephine,Kentucky,0,04/01/1891,124,107706,13345,3/31/1999
21,MidAmerica Bank Maplewood,Minnesota,0,11/14/1955,282,80010,5273,3/31/1992
21,Boatmen's Hampton Bank,Missouri,0,11/29/1955,2512,248256,16999,9/30/1985
21,Security Bank,Texas,0,11/28/1955,408,34849,3522,6/30/2000
3,"Hamilton First Bank, N.A.",Tennessee,0,12/10/1955,,,,
21,Western Security Bank,Oregon,0,1/27/1956,-2257,128670,7266,12/31/1987
21,First Bank and Trust,Texas,0,2/3/1956,3136,330565,31390,12/31/1996
21,"Key Bank of Wyoming - 222 Garfield, Laramie, Wyoming 82070",Wyoming,0,1/28/1956,436,56031,6275,9/30/1989
21,Chemical Bank Albion,Michigan,0,1/27/1956,25,19496,1755,3/31/1986
3,National Bank of Royal Oak,Michigan,0,4/2/1956,246,188830,26003,3/31/1996
21,The Bushton State Bank,Kansas,0,01/01/1898,108,6648,558,12/31/1991
21,Cloud County Bank & Trust,Kansas,0,12/08/1878,676,67520,4525,12/31/1991
21,First RepublicBank Pasadena,Texas,0,9/14/1956,-750,122981,7820,9/30/1987
21,"The Mayfield State Bank of Mayfield, Kansas",Kansas,0,10/20/1908,58,6793,473,6/30/1987
21,First Georgia Bank of Cobb County,Georgia,0,9/17/1956,667,130080,7427,6/30/1985
3,First Southdale National Bank of Edina,Minnesota,0,9/18/1956,2306,301132,20256,9/30/1987
3,The City National Bank of Coral Gables,Florida,0,9/24/1956,,,,
3,"Norwest Bank Texas, Kelly Field, National Association",Texas,0,10/11/1956,1735,206420,14364,12/31/1996
21,"Bank South, Clayton",Georgia,0,7/18/1955,1165,150092,12022,6/30/1984
21,The Farmers and Merchants State Bank,Kansas,0,6/24/1903,98,18426,1528,12/31/1988
21,The Citizens and Southern Bank of Monroe County,Florida,0,12/7/1956,1119,227159,29956,3/31/1991
21,Orangeville Community Bank,Illinois,0,12/21/1956,136,31021,3942,6/30/2002
3,"Sun Bank of Cocoa, National Association",Florida,0,2/16/1957,,,,
41,Maine Savings Bank,Maine,0,01/01/1859,-91858,1182519,-92565,12/31/1990
21,Cole Taylor Bank/Skokie,Illinois,0,3/11/1957,501,201622,11949,12/31/1988
21,Citizens Valley Bank,Oregon,0,3/29/1957,930,159309,11419,9/30/1986
21,Pineland State Bank,Texas,0,5/1/1957,672,91274,6677,6/30/2001
3,Atlantic National Bank of Broward,Florida,0,6/4/1957,,,,
21,The Rochelle Bank and Trust Company,Illinois,0,6/21/1957,,,,
21,The Exeter Banking Company,New Hampshire,0,01/01/1893,2145,263527,17277,12/31/1990
21,Englewood Bank and Trust,Florida,0,6/21/1957,,,,
21,Wayne County Bank and Trust Company,Illinois,0,7/6/1957,348,55110,4560,9/30/1995
21,Smiley State Bank,Texas,0,9/6/1912,-50,7857,443,9/30/1989
3,"United Citizens Bank, National Association",Texas,0,9/6/1957,-4389,44906,-2900,12/31/1990
21,United Illinois Bank of Southern Illinois,Illinois,0,10/7/1957,421,130128,10035,3/31/1992
3,First State National Bank,South Carolina,0,4/11/1932,,,,
21,Ahmanson Bank and Trust Company,California,0,11/25/1957,,,,
41,Central Bank,Connecticut,0,07/12/1851,-62806,654715,-57259,6/30/1991
3,First National Bank in Walsenburg,Colorado,0,1/23/1958,356,53456,4548,6/30/2001
3,Williamsburg First National Bank,South Carolina,0,2/1/1958,-3330,130411,1588,6/30/2010
21,First Bank,Massachusetts,0,1/6/1958,3819,466650,25199,9/30/1988
3,First Wisconsin National Bank of Southgate,Wisconsin,0,4/7/1958,338,88232,5618,3/31/1991
21,Puxico State Bank,Missouri,0,5/21/1956,6,14029,1094,6/30/1987
21,Hawkeye Bank & Trust of Mason City,Iowa,0,5/1/1917,230,20833,1232,12/31/1987
21,Texas Commerce Bank - Airline,Texas,0,8/29/1958,-7,128045,7178,3/31/1987
21,Boatmen's Bank of Southern Missouri,Missouri,0,9/13/1958,7145,1297761,278377,6/30/1997
13,Old Kent Bank of Three Rivers,Michigan,0,10/20/1958,96,32249,2042,3/31/1988
21,FMB-Security Bank,Michigan,0,10/9/1958,853,110011,7102,6/30/1997
3,"Norwest Bank Broomfield, National Association",Colorado,0,11/15/1958,916,88149,5612,12/31/1993
3,The First National Bank of Winter Haven,Florida,0,11/18/1958,272,42374,3540,6/30/1985
21,Central Illinois Bank,Illinois,0,1/3/1959,1975,367039,29208,6/30/1998
21,USTrust,Massachusetts,0,3/12/1959,63938,5732885,511371,12/31/1999
21,First Westside Bank of Vero Beach,Florida,0,6/26/1973,,,,
21,NBD Commerce Bank,Michigan,0,7/3/1973,560,151958,9429,3/31/1990
13,ValliWide Bank,California,0,7/20/1973,-25,1207391,124648,3/31/1997
21,The Perry County Bank,Alabama,0,7/27/1973,118,31012,3062,6/30/2000
21,Kirby State Bank,Texas,0,8/13/1973,-230,16787,185,6/30/1989
3,Virginia National Bank/Henry County,Virginia,0,8/17/1973,,,,
21,SouthTrust Bank of Volusia County,Florida,0,8/21/1973,-360,121643,7435,12/31/1990
21,Virginia Southern Bank,Virginia,0,7/12/1973,468,50820,3058,9/30/1985
21,Nassau County State Bank,Florida,0,10/2/1973,,,,
21,Cabrillo State Bank,California,0,10/8/1973,,,,
21,American Bank of Martin County,Florida,0,10/9/1973,526,67306,5779,3/31/1995
3,First National Bank of Colorado,Colorado,0,10/9/1973,2454,642433,69956,12/31/2007
21,La Marque Bank,Texas,0,10/18/1973,-295,6311,76,6/30/1987
21,Commerce Bank-North County,Missouri,0,11/5/1973,235,35298,2302,6/30/1985
3,First National Bank of Wiggins,Mississippi,0,10/30/1973,-594,47407,2956,9/30/2006
21,Bank of Lake Helen,Florida,0,10/30/1973,,,,
21,The State Bank of Forest City,Florida,0,11/1/1973,,,,
13,Royal Trust Bank,Florida,0,11/1/1973,,,,
21,The Cumberland Bank,North Carolina,0,11/26/1973,,,,
3,"Texas Commerce Bank - Inwood, N.A.",Texas,0,11/19/1973,5,58102,3364,3/31/1987
13,James River Bank/Colonial,Virginia,0,11/28/1973,144,42982,3496,6/30/2000
3,"First Security Bank of Logan, National Association",Utah,0,12/17/1973,,,,
13,American Guaranty Bank,Florida,0,12/11/1973,,,,
3,Independent National Bank,Texas,0,1/3/1974,1361,113611,8470,12/31/2000
21,Garden State Bank,New Jersey,0,1/19/1974,3246,311795,28629,12/31/1995
21,Progressive Bank and Trust Company,Louisiana,0,1/28/1974,1102,152978,13068,6/30/1995
13,Barnett Bank of Kissimmee,Florida,0,1/22/1974,100,37131,1550,3/31/1984
21,Huffman Bank,Texas,0,2/5/1974,-1240,22019,-205,12/31/1989
21,1st*Bank,Texas,0,2/14/1974,1669,143688,9159,12/31/1994
21,Mid Town Bank & Trust Company of Chicago,Illinois,0,2/22/1974,2918,309341,24257,9/30/2001
21,First Bank and Trust,Texas,0,3/18/1974,2387,492997,42363,6/30/1999
21,Texas American Bank/Fondren,Texas,0,3/26/1974,146,62549,2981,6/30/1987
21,"Ameribank, Charleston",West Virginia,0,2/21/1974,91,15032,1176,6/30/1993
21,Shrewsbury State Bank,New Jersey,0,3/25/1974,5906,428074,60848,12/31/2004
21,Combank/Longwood,Florida,0,3/26/1974,,,,
21,First Bank,Texas,0,4/4/1974,-1716,46240,-93,6/30/1988
13,The Bank of Vienna,Virginia,0,3/29/1974,,,,
21,City Bank,Washington,0,4/15/1974,-16056,981913,5529,3/31/2010
21,Southeast Bank of Westshore,Florida,0,4/16/1974,,,,
3,First National Bank of Lebanon,Tennessee,0,4/22/1974,,,,
3,"Liberty Frost Bank, National Association",Texas,0,4/29/1974,543,72306,4681,12/31/1987
3,"Stonewall Jackson Bank and Trust Company, National Association",Virginia,0,4/26/1974,124,12002,1274,12/31/1984
21,State Bank of Litchfield,Nebraska,0,5/1/1974,99,6135,645,12/31/1992
21,Citizens Bank and Trust Company,Mississippi,0,5/22/1974,337,60293,4665,6/30/1994
21,"Bank One, Carmel",Indiana,0,5/22/1974,164,31309,2307,12/31/1988
21,Heritage Bank-Mt. Pleasant,Wisconsin,0,6/3/1974,302,49387,3021,9/30/1984
13,Metropolitan Bank and Trust Company,Florida,0,5/31/1974,,,,
3,"Exchange Bank of Collier County, National Association",Florida,0,6/19/1974,,,,
21,Commercial Bank of San Francisco,California,0,6/26/1974,1372,155539,17364,9/30/2000
21,Gateway Bank,Indiana,0,7/1/1974,-153,19521,855,6/30/1995
3,"SouthTrust Bank of Florida, National Association",Florida,0,6/26/1974,10669,5344135,461819,3/31/1997
21,"Alpine Bank, Snowmass Village",Colorado,0,7/15/1974,623,42491,3822,9/30/1995
3,"Security Pacific Asian Bank, National Associaton",California,0,7/17/1974,-2038,488299,27982,12/31/1990
21,Liberty Bank,Florida,0,7/25/1974,400,49816,5639,9/30/1996
3,"Barnett Banks Trust Company, National Association",Florida,0,8/1/1974,3954,85396,40618,3/31/1996
21,Walthall Citizens Bank,Mississippi,0,8/2/1974,353,68588,5610,6/30/1999
21,First Progressive Bank,Louisiana,0,8/9/1974,-1296,39362,1089,9/30/1985
21,Continental Bank,New York,0,8/9/1974,1936,180156,14412,9/30/1997
21,General Bank of St. Louis County,Missouri,0,8/12/1974,434,153917,14540,3/31/1986
21,Old Kent Bank-Northwest,Illinois,0,8/15/1974,-322,36843,2349,9/30/1989
3,Brownsville National Bank,Texas,0,8/23/1974,1312,97156,11934,12/31/1997
21,First RepublicBank Post Oak,Texas,0,8/30/1974,-71,120805,7561,9/30/1987
3,The City National Bank of Danville,Illinois,0,9/6/1974,-38,24414,1781,3/31/1993
21,Pacific Union Bank,California,0,9/19/1974,3296,1249280,113540,3/31/2004
3,Chase Manhattan Bank of the Southern Tier (National Association),New York,0,9/16/1974,,,,
13,Comerica Bank-Livonia,Michigan,0,9/23/1974,-230,172599,10502,12/31/1987
13,New Bank of Richmond,Virginia,0,9/16/1974,,,,
21,"Society Bank, Monroe",Michigan,0,9/28/1974,256,155132,12241,12/31/1992
3,"Florida Coast Bank of Coral Springs, National Association",Florida,0,10/7/1974,,,,
3,Michigan National Bank of Macomb,Michigan,0,9/28/1974,1598,232247,14259,12/31/1986
21,Jefferson Bank,Pennsylvania,0,10/26/1974,11560,1704104,121178,9/30/1999
21,Sumter Bank and Trust Company,Georgia,0,10/28/1974,2515,208980,16031,12/31/2008
21,First Interstate Bank of Sugarland,Wyoming,0,11/6/1974,5,13906,1062,12/31/1988
3,First Jersey National Bank/South,New Jersey,0,11/8/1974,10348,1307024,80164,9/30/1988
21,Bankcenter One,Missouri,0,11/15/1974,369,98941,6736,9/30/1988
21,The Mitsui Bank of California,California,0,11/15/1974,,,,
21,First Colonial Bank Southwest,Illinois,0,11/18/1974,-182,39446,5449,3/31/1995
13,"Bank of the Islands, Sanibel - Captiva",Florida,0,12/17/1974,1155,114803,8533,12/31/1986
3,"Century National Bank, Boynton Beach",Florida,0,12/18/1974,,,,
13,First Commercial Bank of Fort Myers,Florida,0,12/19/1974,609,50523,2974,9/30/1985
21,Bank of Virginia-Eastern Shore,Virginia,0,1/2/1975,,,,
21,First Professional Bank,Utah,0,1/2/1975,-128,7023,518,9/30/1993
3,National Bank of Albuquerque,New Mexico,0,4/12/1965,96,55680,3595,9/30/1991
3,The First National Bank of Lake Bluff,Illinois,0,4/15/1965,166,46333,2597,12/31/1987
3,"Union Planters Bank of Northeast Mississippi, National Association",Mississippi,0,1/1/1905,4319,296837,18832,12/31/1997
21,Bank of Boston - Essex,Massachusetts,0,5/17/1965,,,,
3,"First Midwest Bank/Lake Forest, a National Association",Illinois,0,6/16/1965,265,67574,3895,6/30/1988
3,Northpark National Bank of Dallas,Texas,0,7/8/1965,4984,695579,53731,6/30/1993
3,"Flagship Bank of West Melbourne, National Association",Florida,0,7/31/1965,,,,
21,United Jersey Bank/Fidelity Bank,New Jersey,0,9/13/1965,1422,273734,15817,6/30/1987
21,Mark Twain State Bank,Missouri,0,9/30/1965,1626,137288,8649,12/31/1985
21,Illini Bank of Menard County,Illinois,0,10/2/1965,117,19660,1404,9/30/1993
21,Barnett Bank of Palm Beach County,Florida,0,10/1/1965,,,,
21,First Midwest Bank/Lake County,Illinois,0,11/5/1965,226,43873,2410,6/30/1988
3,University National Bank of Boca Raton,Florida,0,11/4/1965,,,,
21,State Bank of Young America,Minnesota,0,7/1/1900,679,108826,12220,3/31/2005
21,Savanna State Bank,Illinois,0,10/13/1965,62,37783,3975,3/31/2002
21,Peoples State Bank & Trust Company,Oklahoma,0,12/6/1965,-1352,20176,221,12/31/1986
3,"Exchange Bank of Osceola, National Association",Florida,0,12/16/1965,,,,
21,Cameron State Bank,Louisiana,0,1/15/1966,2761,721866,80338,3/31/2011
3,"Central Bank Academy Boulevard, National Association",Colorado,0,1/18/1966,-82,43344,2490,9/30/1991
21,The Jefferson Guaranty Bank,Louisiana,0,1/24/1966,1962,301481,18643,12/31/1996
21,Northeast Bank of Guilford,Maine,0,2/21/1905,,,,
3,"Bank One, Cleveland, National Association",Ohio,0,2/1/1966,,,,
54,Bank of Tokyo-Mitsubishi UFJ Trust Company,California,0,10/1/1955,13616,1133126,783058,9/30/2011
