CLCODE,NAME,STNAME,ACTIVE,ESTYMD,NETINC,ASSET,EQ,REPDTE
3,"Bank of Boston-Worcester, National Association",Massachusetts,0,01/01/1865,223,135174,7752,3/31/1985
21,Mechanics Bank,Massachusetts,0,01/01/1848,58,454013,36346,3/31/1994
3,"National City Bank, Ashland Kentucky",Kentucky,0,1/1/1916,438,214177,15317,3/31/1994
3,The First National Bank of Falmouth,Kentucky,0,1/1/1921,47,31207,3515,3/31/1994
21,First State Bank,Texas,0,1/1/1901,-56,12339,1583,9/30/2005
3,The First National Bank of Levelland,Texas,0,8/25/1925,-2748,62249,-2522,6/30/1990
3,"MBank Longview, National Association",Texas,0,07/19/1889,-332,264994,6494,12/31/1988
3,Texas Commerce Bank National Association,Texas,0,5/9/1906,-197,117814,9090,9/30/1993
3,"First Interstate Bank of Mesquite, National Association",Texas,0,2/27/1902,256,160373,9207,9/30/1988
21,First State Bank of Hill County,Texas,0,1/1/1933,37,16670,1940,9/30/2005
3,First National Bank in Munday,Texas,0,1/16/1932,356,97474,8310,6/30/2012
3,"First City, Texas - Orange, National Association",Texas,0,01/01/1889,-153,131984,8582,9/30/1992
3,The First National Bank of Pecos,Texas,0,6/28/1907,460,84143,7558,9/30/2000
21,Merchants Bank,Texas,0,2/2/1909,,,,
21,Bank of Texas,Texas,0,1/1/1925,475,63998,5069,12/31/1997
3,The First National Bank in Rhome,Texas,0,1/1/1914,-64,9243,-133,9/30/1987
3,The First National Bank of Rockport,Texas,0,01/01/1890,1216,120916,10406,9/30/1992
3,Security Pacific National Bank,California,0,01/01/1871,-230095,50497074,2211196,3/31/1992
3,First National Bank,California,0,7/29/1910,-1261,62962,3001,9/30/1986
3,The First National Bank of Alachua,Florida,0,1/1/1908,476,229987,25861,3/31/2005
3,Sun First National Bank of De Funiak Springs,Florida,0,1/1/1904,605,42023,4133,12/31/1986
3,"Barnett Bank, National Association",Florida,0,05/07/1877,357000,42432000,4214000,9/30/1998
3,"Barnett Bank of Suwannee Valley, National Association",Florida,0,1/1/1902,263,135780,7233,3/31/1990
3,Florida National Bank at Ocala,Florida,0,1/1/1911,,,,
3,Florida National Bank of Pinellas County,Florida,0,10/27/1930,,,,
3,"Barnett Bank of East Polk County, National Association",Florida,0,10/11/1929,,,,
3,"Harris Bank Barrington, National Association",Illinois,0,1/1/1919,4752,1543758,117395,3/31/2005
3,"Gary-Wheaton Bank of Batavia, National Association",Illinois,0,8/11/1909,501,141036,13752,3/31/1993
21,United Bank of Belvidere,Illinois,0,01/01/1884,455,56405,3860,9/30/1988
13,Bank of America Illinois,Illinois,0,01/01/1857,114000,16647000,2083000,6/30/1997
3,LaSalle National Bank,Illinois,0,11/29/1927,10925,1505443,95552,9/30/1990
3,The First National Bank of Danville,Illinois,0,01/01/1857,-12020,148218,3703,6/30/2009
3,"NBD Bank Elgin, National Association",Illinois,0,06/12/1865,4483,596088,40149,9/30/1992
3,American National Bank of Elgin,Illinois,0,04/19/1892,-182,42300,3206,12/31/1992
3,First National Bank of Freeport,Illinois,0,6/1/1933,1055,166621,12299,6/30/1989
3,The Farmers National Bank of Geneseo,Illinois,0,05/22/1876,-996,195632,29982,6/30/1997
3,The First National Bank of Mt. Auburn,Illinois,0,9/11/1911,46,26075,2535,3/31/2008
3,The Citizens National Bank of Paris,Illinois,0,1/1/1902,155,214625,18711,3/31/2012
3,"Eagle Bank of Champaign County, National Association",Illinois,0,01/01/1899,-141,20188,391,3/31/1993
3,"Bank One, Rockford, National Association",Illinois,0,12/14/1854,9014,743244,74162,12/31/1996
3,"Old Kent Bank-St. Charles, National Association",Illinois,0,4/21/1902,62,54548,3411,9/30/1990
3,"First of America Bank - Springfield, National Association",Illinois,0,08/10/1886,5011,1161328,91549,9/30/1994
3,The Citizens National Bank of Toluca,Illinois,0,4/18/1919,158,38150,2863,6/30/1998
3,The First National Bank and Trust Company of Tuscola,Illinois,0,01/01/1866,,,,
3,"State Financial Bank, National Association",Wisconsin,0,05/01/1852,9826,1666225,161911,9/30/2005
3,The First National Bank of Westville,Illinois,0,12/5/1904,119,23389,1550,9/30/1996
3,"Magna Bank of St. Clair County, National Association",Illinois,0,06/15/1874,3823,1026982,84804,3/31/1993
3,The First National Bank of Ottawa,Kansas,0,09/24/1870,227,43790,4543,9/30/1995
3,The First National Bank of Sterling,Kansas,0,05/05/1884,45,8113,621,9/30/1994
21,The First State Bank,Kansas,0,1/1/1904,-120,12163,642,6/30/1984
3,The First National Bank in Wellington,Kansas,0,03/01/1879,11,90309,8833,3/31/2012
3,The First National Bank of Frankford,Delaware,0,10/1/1907,,,,
13,Farmers Bank of Maryland,Maryland,0,09/17/1805,13833,1628151,359604,9/30/2003
3,The First National Bank of Barton,Maryland,0,11/2/1902,,,,
13,Farmers & Mechanics Bank,Maryland,0,01/01/1817,14682,2023811,448785,6/30/2007
21,Suburban Bank/Western,Maryland,0,12/11/1933,,,,
3,The First National Bank of Snow Hill,Maryland,0,01/01/1887,,,,
3,Carolina First National Bank,North Carolina,0,6/15/1903,,,,
3,The First National Bank of Mooresville,North Carolina,0,11/5/1900,,,,
3,"The First National Bank and Trust Company Athens, Tennessee",Tennessee,0,06/04/1872,464,225651,40762,6/30/2001
3,First Tennessee Bank N.A. Cookeville,Tennessee,0,2/17/1910,257,108565,6158,6/30/1984
3,First Tennessee Bank National Association Franklin,Tennessee,0,11/28/1906,864,137245,9207,6/30/1984
3,First American National Bank,Tennessee,0,01/01/1890,665,69014,5205,3/31/1988
3,First American National Bank,Tennessee,0,6/16/1916,3241,596869,37333,12/31/1989
3,The First National Bank of La Follette,Tennessee,0,2/12/1904,-313,193679,17291,12/31/2010
21,First Bank of Marion County,Tennessee,0,01/01/1887,511,97472,8626,12/31/1988
3,First National Bank of Springfield,Tennessee,0,2/16/1925,152,76728,7026,3/31/1988
13,Merchants Bank,Mississippi,0,01/25/1886,2388,211366,19012,9/30/1998
3,"NBD F & M Bank, National Association",Michigan,0,11/17/1933,3185,260897,14787,9/30/1990
3,"Manufacturers Bank, National Association",Michigan,0,8/10/1933,31841,11292015,692013,6/30/1992
3,The American National Bank and Trust Company of Michigan,Michigan,0,11/1/1933,3287,420544,28195,9/30/1986
3,"Old Kent Bank, National Association",Michigan,0,8/6/1926,4440,535342,36854,6/30/1995
3,MFC First National Bank,Michigan,0,01/01/1871,442,152236,27944,6/30/2000
3,"First of America Bank-Upper Peninsula, National Association",Michigan,0,10/7/1921,3309,383031,23021,9/30/1994
3,MFC First National Bank,Michigan,0,01/01/1884,234,116124,23570,6/30/2000
3,The First National Bank of Aitkin,Minnesota,0,8/28/1900,59,40625,5006,9/30/1999
3,First Bank (N.A.) - Albert Lea,Minnesota,0,5/1/1930,194,74314,3645,3/31/1988
3,The First National Bank of Bovey,Minnesota,0,1/1/1905,17,13648,1029,12/31/2001
21,Rural American Bank - Braham,Minnesota,0,08/29/1899,1271,108994,13770,12/31/2010
3,The First National Bank of Brainerd,Minnesota,0,10/11/1881,464,105008,6105,3/31/1988
3,"BREMER BANK, NATIONAL ASSOCIATION",Minnesota,0,01/01/1881,1421,222724,18009,6/30/2000
3,"Unity Bank, National Association",Minnesota,0,1/1/1910,613,57929,5411,9/30/2006
3,The First National Bank of Deer River,Minnesota,0,5/14/1908,12,15592,2844,9/30/2006
